Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,A,ARnA,"December 14, 2024",09:00 AM - 11:00 AM,701 (011182110-011203014)                                                                                                                                                                                                                       702 (011203027-011222150)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,B,ARnA,"December 14, 2024",09:00 AM - 11:00 AM,425 (011181193-011203024)                                                                                                                                                                                                                       428 (011203040-0112230954)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,C,ARnA,"December 14, 2024",09:00 AM - 11:00 AM,803 (011162018-011201420)                                                                                                                                                                                                                       804 (011201466-011222025)
BSEEE,EEE 4317/EEE 457,Mobile Cellular Communication,A,RM,"December 14, 2024",09:00 AM - 11:00 AM,432 (021162038-021213010)
BSCSE,ENG 1011,English I,AA,SaFe,"December 14, 2024",09:00 AM - 11:00 AM,432 (0112330190-0112430028)                                                                                                                                                                                                                       601 (0112430029-0112430728)
BSCSE,ENG 1011,English I,AB,NB,"December 14, 2024",09:00 AM - 11:00 AM,602 (0112410505-0112430052)                                                                                                                                                                                                                       603 (0112430053-0152430105)
BSCSE,ENG 1011,English I,AC,SSh,"December 14, 2024",09:00 AM - 11:00 AM,604 (0112330241-0112430083)                                                                                                                                                                                                                       605 (0112430084-0112430731)
BSCSE,ENG 1011,English I,AE,SMMS,"December 14, 2024",09:00 AM - 11:00 AM,630 (0112420552-0112430145)                                                                                                                                                                                                                       631 (0112430146-0152430104)
BSCSE,ENG 1011,English I,AF,MZK,"December 14, 2024",09:00 AM - 11:00 AM,632 (0112330974-0112430166)                                                                                                                                                                                                                       701 (0112430167-0152430107)
BSCSE,ENG 1011,English I,AG,SaHn,"December 14, 2024",09:00 AM - 11:00 AM,702 (0112410050-0112430200)                                                                                                                                                                                                                       703 (0112430201-0112430605)
BSCSE,ENG 1011,English I,AH,ChMR,"December 14, 2024",09:00 AM - 11:00 AM,706 (0112320080-0112430235)                                                                                                                                                                                                                       707 (0112430236-0112430744)
BSCSE,ENG 1011,English I,AI,AnAn,"December 14, 2024",09:00 AM - 11:00 AM,708 (0112310322-0112430265)                                                                                                                                                                                                                       711 (0112430266-0152430106)
BSCSE,ENG 1011,English I,AJ,AnAn,"December 14, 2024",09:00 AM - 11:00 AM,722 (0112330207-0112430294)                                                                                                                                                                                                                       723 (0112430297-0112430727)
BSCSE,ENG 1011,English I,AK,SSh,"December 14, 2024",09:00 AM - 11:00 AM,801 (0112430283-0112430325)                                                                                                                                                                                                                       802 (0112430327-0112430739)
BSCSE,ENG 1011,English I,AL,ChMR,"December 14, 2024",09:00 AM - 11:00 AM,803 (0112420099-0112430347)                                                                                                                                                                                                                       804 (0112430348-0152430064)
BSCSE,ENG 1011,English I,AM,AArSh,"December 14, 2024",09:00 AM - 11:00 AM,805 (0112330761-0112430376)                                                                                                                                                                                                                       806 (0112430377-0112430741)
BSCSE,ENG 1011,English I,AN,ChMR,"December 14, 2024",09:00 AM - 11:00 AM,304 (0112330200-0112430465)                                                                                                                                                                                                                       305 (0112430466-0112430726)
